sensor,ts_ns,x,y,z,w
acc,927623890959570,-0.272939,1.271321,9.200917,0.0
acc,927623892958242,-0.30645782,1.3072342,9.251195,0.0
gyr,927623892958242,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623894957148,-0.33758244,1.3335704,9.315839,0.0
gyr,927623894957148,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623896942213,-0.34476504,1.3431472,9.356541,0.0
gyr,927623896956367,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623898955507,-0.35194764,1.3575124,9.449914,0.0
rotVec,927623898955507,0.06889622,0.025882686,0.10520064,0.99172395
linAcc,927623898955507,0.009340197,-0.035991192,-0.25049877,0.0
gyr,927623898955507,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623900954921,-0.33758244,1.3623008,9.533711,0.0
gyr,927623900954921,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623902954140,-0.31603462,1.3503298,9.61272,0.0
gyr,927623902954140,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623904943697,-0.29448682,1.3551182,9.698911,0.0
gyr,927623904952460,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623906951367,-0.2633622,1.3455414,9.7563715,0.0
rotVec,927623906951367,0.06859434,0.02520257,0.10552099,0.9917283
linAcc,927623906951367,0.08489078,-0.040851235,0.054463387,0.0
gyr,927623906951367,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623908933072,-0.22984336,1.328782,9.816227,0.0
gyr,927623908949921,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623910948398,-0.20350714,1.3144168,9.868899,0.0
gyr,927623910948398,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623912931197,-0.19871874,1.328782,9.911995,0.0
gyr,927623912947773,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623914947421,-0.21787235,1.3311762,9.911995,0.0
rotVec,927623914947421,0.0681129,0.02421787,0.10585968,0.9917499
linAcc,927623914947421,0.11178133,-0.044003725,0.20784092,0.0
gyr,927623914947421,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623916946718,-0.22266077,1.3311762,9.911995,0.0
gyr,927623916946718,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623918945937,-0.23942018,1.3311762,9.91439,0.0
gyr,927623918945937,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623920945117,-0.260968,1.3479356,9.902418,0.0
gyr,927623920945117,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623922945546,-0.2801216,1.3431472,9.880871,0.0
rotVec,927623922945546,0.022417143,-0.068666026,-0.9940948,0.08098151
linAcc,927623922945546,0.047892958,-0.03127265,0.17655373,0.0
gyr,927623922945546,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623924933931,-0.2705448,1.3383588,9.856929,0.0
gyr,927623924945234,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623926945625,-0.2681506,1.3263878,9.825804,0.0
gyr,927623926945625,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623928931978,-0.25139117,1.3263878,9.787497,0.0
gyr,927623928944843,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623930945390,-0.22984336,1.3263878,9.742006,0.0
rotVec,927623930945390,0.021468712,-0.068088,-0.9941282,0.08131675
linAcc,927623930945390,0.08016361,-0.035441637,0.035323143,0.0
gyr,927623930945390,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623932936158,-0.20111294,1.3215994,9.682152,0.0
gyr,927623932945781,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623934945546,-0.16998832,1.3263878,9.629479,0.0
gyr,927623934945546,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623936939908,-0.15083471,1.3239936,9.600749,0.0
gyr,927623936945664,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623938946289,-0.15322891,1.3144168,9.548077,0.0
rotVec,927623938946289,0.020475468,-0.06800142,-0.9941267,0.08166283
linAcc,927623938946289,0.13708752,-0.044277072,-0.15965462,0.0
gyr,927623938946289,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623940947109,-0.15083471,1.3215994,9.485827,0.0
gyr,927623940947109,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623942946835,-0.14604631,1.3263878,9.433155,0.0
gyr,927623942946835,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623944931939,-0.1316811,1.3359646,9.392453,0.0
gyr,927623944947109,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623946947187,-0.11971009,1.3383588,9.358934,0.0
rotVec,927623946947187,0.018355733,-0.06856704,-0.9952854,0.06609535
linAcc,927623946947187,0.14972231,-0.023922324,-0.34889603,0.0
gyr,927623946947187,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623948946835,-0.11492168,1.3311762,9.337387,0.0
gyr,927623948946835,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623950947031,-0.12210429,1.3311762,9.313444,0.0
gyr,927623950947031,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623952928463,-0.12928689,1.328782,9.287108,0.0
gyr,927623952947109,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623954946718,-0.12210429,1.3335704,9.294291,0.0
rotVec,927623954946718,0.017478285,-0.06881612,-0.9952612,0.066438295
linAcc,927623954946718,0.12940556,-0.032520294,-0.41348553,0.0
gyr,927623954946718,-0.012217305,-0.010995574,0.07147124,0.0
acc,927623956928658,-0.11971009,1.328782,9.306262,0.0
gyr,927623956945429,0.005497787,-0.13561209,0.05375614,0.0
acc,927623958944765,-0.12210429,1.3263878,9.308656,0.0
gyr,927623958944765,0.0012217305,-0.13988814,0.051923547,0.0
acc,927623960944492,-0.107739076,1.3215994,9.330204,0.0
gyr,927623960944492,-0.007330383,-0.14110987,0.050701816,0.0
acc,927623962944140,-0.088585466,1.328782,9.354146,0.0
rotVec,927623962944140,0.015302658,-0.06923727,-0.99624366,0.04970574
linAcc,927623962944140,0.14292379,-0.03900683,-0.35388947,0.0
gyr,927623962944140,-0.017715093,-0.14049901,0.04886922,0.0
acc,927623964933502,-0.076614454,1.3383588,9.3733,0.0
gyr,927623964943125,-0.025045475,-0.13988814,0.04520403,0.0
acc,927623966943359,-0.06943185,1.328782,9.394848,0.0
gyr,927623966943359,-0.034208454,-0.13744467,0.04337143,0.0
acc,927623968943984,-0.074220255,1.340753,9.40203,0.0
gyr,927623968943984,-0.039095376,-0.13194689,0.040317107,0.0
acc,927623970944609,-0.08619126,1.3455414,9.406818,0.0
rotVec,927623970944609,0.01430847,-0.069440335,-0.99623567,0.049879745
linAcc,927623970944609,0.12545472,-0.025284052,-0.30124187,0.0
gyr,927623970944609,-0.047036625,-0.12889257,0.03970624,0.0
acc,927623972934088,-0.095768064,1.3455414,9.421184,0.0
gyr,927623972944960,-0.05375614,-0.12034045,0.03604105,0.0
acc,927623974945273,-0.110133275,1.3575124,9.44752,0.0
gyr,927623974945273,-0.058643065,-0.118507855,0.03481932,0.0
acc,927623976932603,-0.12928689,1.3503298,9.481039,0.0
gyr,927623976945507,-0.06414085,-0.11362094,0.037873644,0.0
acc,927623978945664,-0.1340753,1.3503298,9.500193,0.0
rotVec,927623978945664,0.013807358,-0.069243684,-0.99625045,0.0499974
linAcc,927623978945664,0.067815825,-0.016214967,-0.20867825,0.0
gyr,927623978945664,-0.06536258,-0.11301007,0.037873644,0.0
acc,927623980945039,-0.1340753,1.3503298,9.536105,0.0
gyr,927623980945039,-0.06963864,-0.11056661,0.035430185,0.0
acc,927623982945429,-0.12689269,1.3383588,9.560047,0.0
gyr,927623982945429,-0.06963864,-0.10323623,0.034208454,0.0
acc,927623984934244,-0.11252748,1.3383588,9.579201,0.0
gyr,927623984945117,-0.07086037,-0.0983493,0.03604105,0.0
acc,927623986945468,-0.110133275,1.3479356,9.61272,0.0
rotVec,927623986945468,0.013361216,-0.06940664,-0.9961463,0.051931493
linAcc,927623986945468,0.08022037,-0.021720886,-0.09594631,0.0
gyr,927623986945468,-0.07269296,-0.092240654,0.03604105,0.0
acc,927623988931510,-0.11252748,1.328782,9.624691,0.0
gyr,927623988945351,-0.06963864,-0.08674286,0.036651913,0.0
acc,927623990945859,-0.12449849,1.3192052,9.651027,0.0
gyr,927623990945859,-0.070249505,-0.07880162,0.037873644,0.0
acc,927623992945703,-0.12689269,1.3215994,9.679757,0.0
gyr,927623992945703,-0.06719518,-0.06963864,0.03848451,0.0
acc,927623994946054,-0.12928689,1.3215994,9.689334,0.0
rotVec,927623994946054,0.013010151,-0.0691469,-0.9961622,0.052060977
linAcc,927623994946054,0.054300755,-0.04267931,-0.02021885,0.0
gyr,927623994946054,-0.065973446,-0.06291912,0.03726278,0.0
acc,927623996928775,-0.12689269,1.3192052,9.691729,0.0
gyr,927623996946484,-0.06291912,-0.05497787,0.03970624,0.0
acc,927623998946718,-0.12449849,1.3144168,9.698911,0.0
gyr,927623998946718,-0.059253927,-0.04642576,0.039095376,0.0
acc,927624000946406,-0.11492168,1.3192052,9.703699,0.0
gyr,927624000946406,-0.0580322,-0.03970624,0.040317107,0.0
acc,927624002946523,-0.11252748,1.3120226,9.6845455,0.0
rotVec,927624002946523,0.012832301,-0.068905175,-0.99613625,0.05291491
linAcc,927624002946523,0.06667157,-0.047531486,-0.025753021,0.0
gyr,927624002946523,-0.056199603,-0.03359759,0.0421497,0.0
acc,927624004930377,-0.11492168,1.3000516,9.672575,0.0
gyr,927624004946835,-0.056199603,-0.029932396,0.042760566,0.0
acc,927624006947656,-0.11971009,1.2952632,9.667787,0.0
gyr,927624006947656,-0.05375614,-0.02321288,0.04337143,0.0
acc,927624008939713,-0.12689269,1.283292,9.653421,0.0
gyr,927624008947460,-0.052534413,-0.014660766,0.04642576,0.0
acc,927624010947539,-0.1316811,1.2737153,9.643845,0.0
rotVec,927624010947539,0.012281797,-0.06840241,-0.9961674,0.05311171
linAcc,927624010947539,0.037027746,-0.07553387,-0.068078995,0.0
gyr,927624010947539,-0.05131268,-0.01038471,0.04642576,0.0
acc,927624012934088,-0.1412579,1.2617443,9.643845,0.0
gyr,927624012947109,-0.05375614,-0.0018325958,0.047036625,0.0
acc,927624014946601,-0.14844051,1.2473791,9.634268,0.0
gyr,927624014946601,-0.056199603,0.007941248,0.047647487,0.0
acc,927624016924205,-0.16280572,1.2401965,9.634268,0.0
gyr,927624016946875,-0.058643065,0.014049901,0.045814894,0.0
acc,927624018946835,-0.17477672,1.2473791,9.646238,0.0
rotVec,927624018946835,0.012267067,-0.06818513,-0.99617237,0.053301267
linAcc,927624018946835,-0.006381616,-0.097661614,-0.06627369,0.0
gyr,927624018946835,-0.064751714,0.022602014,0.047036625,0.0
acc,927624020947773,-0.17956513,1.2449849,9.648633,0.0
gyr,927624020947773,-0.064751714,0.02687807,0.048258353,0.0
acc,927624022947070,-0.18435353,1.2449849,9.660604,0.0
gyr,927624022947070,-0.069027774,0.032375857,0.04642576,0.0
acc,927624024946679,-0.18195933,1.2497733,9.6845455,0.0
gyr,927624024946679,-0.07147124,0.039095376,0.045814894,0.0
acc,927624026945859,-0.17238252,1.2449849,9.701305,0.0
rotVec,927624026945859,0.012080805,-0.067201026,-0.9963775,0.05069416
linAcc,927624026945859,-0.0031130165,-0.080286145,-0.01390934,0.0
gyr,927624026945859,-0.07513642,0.04153884,0.044593163,0.0
acc,927624028931002,-0.17238252,1.2425907,9.742006,0.0
gyr,927624028945781,-0.07819075,0.043982297,0.042760566,0.0
acc,927624030946445,-0.18914193,1.2378023,9.7803135,0.0
gyr,927624030946445,-0.080634214,0.048258353,0.0421497,0.0
acc,927624032929010,-0.19632454,1.2497733,9.811439,0.0
gyr,927624032946718,-0.077579886,0.049480084,0.04153884,0.0
acc,927624034947773,-0.20350714,1.2497733,9.835381,0.0
rotVec,927624034947773,0.012236116,-0.066883385,-0.99638754,0.050880656
linAcc,927624034947773,-0.031128913,-0.06950259,0.11940479,0.0
gyr,927624034947773,-0.08002335,0.048258353,0.040317107,0.0
acc,927624036942408,-0.21308395,1.2497733,9.866506,0.0
gyr,927624036947460,-0.07880162,0.047036625,0.03848451,0.0
acc,927624038947734,-0.22744916,1.2449849,9.883265,0.0
gyr,927624038947734,-0.076358154,0.042760566,0.039095376,0.0
acc,927624040948242,-0.22744916,1.2473791,9.902418,0.0
