Time,placement_label,user_acc_x(m/s^2),user_acc_y(m/s^2),user_acc_z(m/s^2),rotation_rate_x(rad/s),rotation_rate_y(rad/s),rotation_rate_z(rad/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),attitude_roll(rad),attitude_pitch(rad),attitude_yaw(rad),target_delta_x,target_delta_y,target_delta_z,target_delta_roll,target_delta_pitch,target_delta_yaw
150000000000.0,1,-0.0049229383,0.006472388999999999,-0.007119627899999999,0.007644,-0.022231,0.005237,-1.7350905845,-9.524022347,1.5662200714999999,-2.3051,1.3301,1.6856,0.0,0.0,0.0,0.0,0.0,0.0
150000000000.0,1,-0.01624961905,-0.020044792599999996,0.033450483149999995,0.006569,-0.023288,0.005238,-1.735384784,-9.523728147499998,1.5677891355,-2.3055,1.33,1.6858,2.0000000000020002e-05,2.4999999999941735e-05,-2.999999999997449e-05,-0.00031785392255101463,0.0001444791123215161,-0.0005481507203246583
150000000000.0,1,-0.01032640245,-0.04873905049999999,0.0503669544,0.003376,-0.023261,0.004165,-1.7354828504999997,-9.523433948,1.5693581994999999,-2.3059,1.3299,1.686,-2.0000000000020002e-05,2.500000000016378e-05,-9.99999999995449e-06,-0.0007112713416248528,-0.00033292035571319545,0.00014578403754339497
150000000000.0,1,-0.0081591328,-0.06904862265,0.07374600799999999,0.000197,-0.020039,0.00522,-1.7355809169999998,-9.5231397485,1.5707311305,-2.3064,1.3298,1.6863,6.0000000000060005e-05,2.4999999999941735e-05,5.000000000032756e-06,0.0008781924838789923,0.00034591815232243306,-0.0009953545148893017
150000000000.0,1,-0.00048052584999999995,-0.07852184655,0.09799785344999999,-0.005118,-0.017865,0.005207,-1.7354828504999997,-9.5229436155,1.5721040615,-2.3068,1.3297,1.6865,9.99999999995449e-06,2.4999999999941735e-05,4.999999999921734e-06,0.00021554874389217993,-4.038509827042347e-05,-9.220312512447926e-05
150000000000.0,1,0.0167889848,-0.0580161414,0.09628168969999999,-0.001887,-0.015759,0.003073,-1.7350905845,-9.522845549,1.573378926,-2.3074,1.3296,1.6868,-2.0000000000020002e-05,-8.333333333387927e-06,1.0000000000065512e-05,-0.00017822519690557925,-0.0002131112564767168,-9.491433348074452e-05
150000000000.0,1,0.031616639599999996,-0.010002783,0.08934838814999999,0.000258,-0.014713,0.003073,-1.7345021854999998,-9.522649416,1.5750460565,-2.3081,1.3296,1.6874,-2.0000000000020002e-05,-8.333333333387927e-06,9.99999999995449e-06,0.00040887697460245676,-1.1998995318673877e-05,-0.00042994418242692234
150000000000.0,1,0.03543142645,0.00867888525,0.07452073334999999,0.004547,-0.013681,0.000942,-1.73381572,-9.522453282999999,1.57690932,-2.3088,1.3295,1.688,-9.99999999995449e-06,-8.333333333165882e-06,-1.0000000000065512e-05,0.00011105420701840174,0.00018350666089395062,-0.00037613388307766726
150000000000.0,1,0.04270796075,0.0070705946499999995,0.030008348999999997,0.007718,-0.016906,0.002019,-1.7330311879999998,-9.5223552165,1.5784783839999998,-2.3096,1.3294,1.6885,-2.999999999997449e-05,-8.333333333387927e-06,-9.99999999995449e-06,-0.0008482336939130697,-0.0002242898487203604,0.00032620702734265095
150000000000.0,1,0.04412011835,0.003138128,-0.0030204482,0.010958,-0.01267,0.000948,-1.7321485895,-9.5223552165,1.579655182,-2.3102,1.3294,1.689,-1.0000000000065512e-05,-8.333333333387927e-06,1.0000000000065512e-05,0.00059390623631983,-0.00012349896801988614,-1.7067216491417625e-05
150000000000.0,1,0.0616053753,0.016896857949999997,-0.0034519407999999995,0.008839,-0.009458,0.003072,-1.731265991,-9.5223552165,1.5806358469999997,-2.3107,1.3294,1.6895,5.000000000032756e-06,-8.333333333165882e-06,-4.0000000000040004e-05,-0.0006337965481439944,-4.885195196147052e-05,-0.0002566398908574463
150000000000.0,1,0.059036033,0.03090075415,-0.0037657536,0.011002,-0.005215,0.004133,-1.730677592,-9.52225715,1.5817145784999997,-2.3113,1.3294,1.69,5.000000000032756e-06,-8.333333333387927e-06,-2.0000000000020002e-05,0.00020433920333084998,-5.140350520682624e-05,-0.0001227322897667804
150000000000.0,1,0.05924197265,0.021260817199999997,-0.00293218835,0.008911,0.000129,0.004118,-1.7300891929999997,-9.5221590835,1.5826952435,-2.3117,1.3294,1.6904,-1.0000000000065512e-05,-8.333333333387927e-06,-2.0000000000020002e-05,-3.843019753291266e-05,0.0001314159549412608,-0.00022782911377405846
150000000000.0,1,0.054721107,0.0063939358,-0.023810546199999998,0.00888,-0.000941,0.008388,-1.72989306,-9.5221590835,1.583185576,-2.3119,1.3293,1.6906,4.0000000000040004e-05,-8.333333333387927e-06,-9.99999999995449e-06,0.0005021008083674339,-0.0002165545346843878,0.00017664002895667608
150000000000.0,1,0.042394147949999995,-0.01819133575,-0.02352615335,0.005696,0.001216,0.008377,-1.7299911265,-9.522061016999999,1.5833817089999997,-2.312,1.3293,1.6906,4.999999999999449e-05,-8.333333333387927e-06,-2.999999999997449e-05,-0.00045402696816476684,0.00046630989803664313,-0.00013716120975515445
150000000000.0,1,0.031018433949999997,-0.03821651505,-0.031744126049999995,0.003584,0.003366,0.0073,-1.7301872594999999,-9.5221590835,1.5830875094999999,-2.3118,1.3293,1.6905,-9.99999999995449e-06,-8.333333333165882e-06,-3.0000000000085514e-05,-0.0012260126713379282,-0.00010074308091811979,-0.0004933470733623491
150000000000.0,1,0.011836626549999998,-0.06471408334999999,-0.024634304799999996,0.003608,0.006563,0.007294,-1.7305795254999998,-9.5221590835,1.5826952435,-2.3116,1.3293,1.6903,2.999999999997449e-05,-8.333333333387927e-06,-1.999999999990898e-05,0.00031879964351144707,-6.12238224473316e-06,-7.058986731145467e-05
