Time,placement_label,user_acc_x(m/s^2),user_acc_y(m/s^2),user_acc_z(m/s^2),rotation_rate_x(rad/s),rotation_rate_y(rad/s),rotation_rate_z(rad/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),attitude_roll(rad),attitude_pitch(rad),attitude_yaw(rad),target_delta_x,target_delta_y,target_delta_z,target_delta_roll,target_delta_pitch,target_delta_yaw
1504282101.99,-1.0,0.0863181333,-0.0838272442,0.05074941374999999,0.030347,-0.075615,0.042382,-1.45804291535,-9.65593159615,0.89855391955,-2.123093,1.395251,2.741971,0.0,0.0,0.0,0.0,0.0,0.0
1504282102.0,-1.0,0.06312540605,-0.09442823285,0.060291284199999996,0.035678,-0.082043,0.032795,-1.4593864264,-9.6552157107,0.9041240967499999,-2.125448,1.394829,2.743506,0.00019999999999997797,9.999999999976694e-05,4.999999999988347e-05,-3.2941978214129364e-05,-3.1729416089865126e-05,-0.0002903586123703672
1504282102.01,-1.0,0.0391481468,-0.0893974214,0.03182257925,0.042082,-0.088478,0.022142,-1.4601023118499998,-9.654548858499998,0.9099982801,-2.12813,1.394445,2.745314,0.00019999999999997797,0.00010000000000021103,5.0000000000105516e-05,-8.028283308458839e-05,2.0219601726712e-05,-0.0002722566901550705
1504282102.02,-1.0,0.0182992089,-0.09846857264999999,0.006276256,0.038867,-0.094837,0.014676,-1.460210185,-9.6540192994,0.9154900041,-2.130803,1.394134,2.747064,0.00019999999999997797,9.999999999976694e-05,5.0000000000105516e-05,-7.792971047448916e-05,3.322233036695543e-05,-0.00025761637693577644
1504282102.03,-1.0,0.023290793749999997,-0.0840626038,-0.01169933345,0.047446,-0.095962,0.004018,-1.4593570064499999,-9.6536074201,0.9211974744,-2.133865,1.393894,2.749197,0.00019999999999997797,5.000000000032756e-05,4.999999999988347e-05,-3.8102635758985315e-05,5.404639259798394e-05,-0.000258575606649325
1504282102.04,-1.0,0.0281450855,-0.055603705499999996,-0.01630845895,0.043168,-0.101249,-0.002385,-1.4577781358,-9.653332833899999,0.9265519052999999,-2.136977,1.393735,2.751343,0.00019999999999997797,4.999999999988347e-05,3.333333333332966e-05,-3.003023489944745e-05,2.149854804023299e-05,-0.00023014590884951058
1504282102.05,-1.0,0.02880213105,-0.0234182802,-0.022731814700000002,0.04213,-0.102298,-0.009857,-1.4554539597499998,-9.653195540799999,0.93163175,-2.140178,1.393656,2.753554,0.00025000000000030553,4.999999999988347e-05,3.333333333332966e-05,3.827942421219532e-05,3.6256640107312776e-05,-0.00022920511535673427
1504282102.06,-1.0,0.027654752999999997,0.00901231135,-0.03896182045,0.042127,-0.106553,-0.016254,-1.4525021581,-9.6531563142,0.9366331414999999,-2.143538,1.393633,2.755889,0.00024999999999986144,4.999999999988347e-05,3.333333333332966e-05,3.827114454790781e-05,3.626549616431163e-05,-0.00022920395718883935
1504282102.07,-1.0,0.033931009,0.023065240799999998,-0.06694999955,0.033594,-0.110738,-0.023733,-1.4487560177999999,-9.653293607299998,0.9409774874499999,-2.146825,1.393714,2.758111,0.00019999999999997797,0.00010000000000021103,2.4999999999941735e-05,6.413177468456155e-05,5.7878633854757666e-05,-0.0001991959575260438
1504282102.08,-1.0,0.02731152025,0.027703786249999997,-0.09100571199999999,0.037892,-0.112894,-0.033329,-1.4442253455,-9.65359761345,0.94484130755,-2.150131,1.393888,2.760335,0.00019999999999997797,4.999999999988347e-05,2.500000000016378e-05,6.555277065167786e-05,6.930685538741876e-05,-0.00015686435953288225
