Time,placement_label,user_acc_x(m/s^2),user_acc_y(m/s^2),user_acc_z(m/s^2),rotation_rate_x(rad/s),rotation_rate_y(rad/s),rotation_rate_z(rad/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),attitude_roll(rad),attitude_pitch(rad),attitude_yaw(rad),target_delta_x,target_delta_y,target_delta_z,target_delta_roll,target_delta_pitch,target_delta_yaw
150000000000.0,-1,0.06320385925,0.027331133549999997,0.034382114899999996,-0.00326,-0.01982,0.011826,-1.528268336,-9.580900917,1.4283385725,-2.3224,1.3558,1.3933,0.0,0.0,0.0,0.0,0.0,0.0
150000000000.0,-1,0.05004333495,-0.02240819525,0.034705734349999996,-0.006431,-0.015533,0.012878,-1.528464469,-9.580900917,1.428632772,-2.3224,1.3558,1.3931,-0.00034999999999996145,0.0005999999999999339,-0.0005500000000000504,-0.015065679560989587,0.008995138073615072,-0.007894647945518862
150000000000.0,-1,0.043894565399999995,-0.08185610755,0.039510992849999996,-0.005394,-0.01874,0.013951,-1.5285625355,-9.5808028505,1.4287308384999997,-2.3224,1.3558,1.3929,0.00031000000000003247,-0.0006999999999999229,0.0005399999999999849,0.015627037436240165,-0.00904284715440773,0.00783760444730941
150000000000.0,-1,0.033352416649999994,-0.13744019975,0.05263229055,-0.007518,-0.017657,0.013943,-1.528856735,-9.5808028505,1.4289269715,-2.3224,1.3558,1.3927,-2.0000000000020002e-05,0.00034999999999985043,-4.999999999999449e-05,0.000662699742356887,4.64926648855446e-05,0.0001832842390854239
150000000000.0,-1,0.03144992655,-0.16278058334999998,0.05504472645,-0.009675,-0.018709,0.017141,-1.5291509345,-9.580704784,1.4289269715,-2.3223,1.3557,1.3924,-0.00038000000000004697,0.0003500000000000725,-0.0005100000000000104,-0.015842424095843466,0.00864721318636219,-0.008996669756614395
150000000000.0,-1,0.0350685804,-0.14605043845,0.05759445544999999,-0.012861,-0.017617,0.016064,-1.5295432004999998,-9.580704784,1.4287308384999997,-2.3222,1.3557,1.392,-7.00000000000145e-05,-9.999999999998899e-05,-5.999999999994898e-05,-0.0006246013718815835,-0.00021571899858696675,-0.00037330469542373734
150000000000.0,-1,0.0599186315,-0.06151711544999999,0.0481310382,-0.00965,-0.016578,0.016066,-1.529641267,-9.580704784,1.428632772,-2.3221,1.3557,1.3917,-3.999999999992898e-05,-0.00039999999999995595,2.0000000000020002e-05,-0.00022261929758649046,0.00033272059351796557,-0.0004767861030305909
150000000000.0,-1,0.0750797124,0.040893730499999996,0.04319829325,-0.006462,-0.017672,0.017138,-1.5298374,-9.580606717499998,1.4291231045,-2.3221,1.3557,1.3916,0.00041000000000002146,-0.00039999999999995595,0.0006800000000000139,0.019454239898359482,-0.00978655325001343,0.009706830095527863
150000000000.0,-1,0.09056441274999999,0.11903311769999998,0.018387468749999997,-0.001147,-0.020912,0.016083,-1.5299354665,-9.580508651,1.42980957,-2.3224,1.3556,1.3916,-8.000000000008001e-05,-9.999999999998899e-05,6.999999999990347e-05,0.0008485242929336945,-0.00019461822690058916,-0.00021317761306027805
150000000000.0,-1,0.090025047,0.13997031545,0.00252030905,0.005244,-0.023095,0.015027,-1.5298374,-9.580312518,1.430986368,-2.3228,1.3555,1.3918,-6.999999999990347e-05,-4.999999999988347e-05,3.0000000000085514e-05,6.562114839891997e-05,-2.5864513655493582e-05,-0.00041166964539618434
