Time,placement_label,user_acc_x(m/s^2),user_acc_y(m/s^2),user_acc_z(m/s^2),rotation_rate_x(rad/s),rotation_rate_y(rad/s),rotation_rate_z(rad/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),attitude_roll(rad),attitude_pitch(rad),attitude_yaw(rad),target_delta_x,target_delta_y,target_delta_z,target_delta_roll,target_delta_pitch,target_delta_yaw
150000000000.0,3,-0.03195987235,-0.07879643275,-0.03603943875,-0.038539,0.007386,-0.012521,-3.4312487684999997,-9.157253637,0.7355968164999999,-1.782,1.2048,-1.7504,0.0,0.0,0.0,0.0,0.0,0.0
150000000000.0,3,0.00748247395,-0.0975369409,-0.03923640665,-0.036319,0.013769,-0.020002,-3.4290913054999996,-9.158430435,0.73115440405,-1.7809,1.2052,-1.7514,-3.333333333332966e-05,1.2499999999970868e-05,1.0000000000065512e-05,0.00031099836796144587,8.953673744827029e-05,-3.960147278903037e-05
150000000000.0,3,0.022672974799999995,-0.11151141714999999,0.009483030549999999,-0.01285,0.014639,-0.017831,-3.4264435099999995,-9.159607233,0.7291244275,-1.7805,1.2055,-1.7517,-3.333333333332966e-05,1.2499999999970868e-05,3.999999999992898e-05,0.00010812374558533122,-0.00026529945725251025,-0.00010700467212743092
150000000000.0,3,0.0074922806,-0.1038524235,0.0795907714,-0.028884,0.015827,-0.009324,-3.4247763794999995,-9.160391765,0.7273984571,-1.7801,1.2057,-1.752,-3.333333333332966e-05,1.2499999999970868e-05,6.0000000000060005e-05,-0.0002828141736310741,0.00022476426788875514,-0.0003084636274888197
150000000000.0,3,0.026791767799999998,-0.06983315464999999,0.05730025595,-0.035426,0.00202,-0.00291,-3.4235995814999995,-9.160980164,0.7248487280999999,-1.7794,1.2059,-1.7527,9.999999999998899e-05,1.2500000000192912e-05,-4.999999999999449e-05,-8.726852839502364e-05,8.363331710437016e-05,-0.000352959137990716
150000000000.0,3,0.07230443045,-0.028870777599999998,0.0183972754,-0.025926,-0.005527,0.005655,-3.4225208499999997,-9.161568563,0.7226128118999999,-1.7789,1.2061,-1.7534,-0.00019999999999997797,1.2499999999970868e-05,0.00025999999999992696,-0.0003228250902405083,-0.0017046774188753666,-0.0002125740615208649
150000000000.0,3,0.07351064839999999,0.04349249274999999,0.0551329863,-0.002601,-0.019581,0.013189,-3.4225208499999997,-9.1614704965,0.7234365705,-1.7791,1.206,-1.7534,-9.999999999998899e-05,1.2499999999970868e-05,2.999999999997449e-05,-0.00028509999378778517,-0.00015674550636557427,-0.00043253895249106833
150000000000.0,3,0.05671185694999999,0.1039897166,0.06728342564999999,0.009051,-0.029271,0.01536,-3.4234034485,-9.160980164,0.72638837215,-1.7799,1.2059,-1.7529,-4.999999999988347e-05,1.2499999999970868e-05,5.0000000000105516e-05,-0.00018247692777961788,-0.0003274573773974776,-0.0006899740952555078
150000000000.0,3,0.09260419595,0.0840626038,0.02307504745,0.013312,-0.033564,0.010035,-3.4232073154999996,-9.160784030999999,0.72931075385,-1.7807,1.2058,-1.7524,-5.0000000000105516e-05,1.2499999999970868e-05,9.999999999998899e-05,-0.00020450991283538222,-0.00020847382769861866,-0.0004028464910117435
150000000000.0,3,0.11439457224999999,0.04531652965,-0.0141804159,0.009059,-0.035654,0.003622,-3.4220305174999996,-9.1610782305,0.7313995702999999,-1.7814,1.2059,-1.752,-9.999999999998899e-05,-4.999999999988347e-05,-2.0000000000020002e-05,-0.00028525486137720435,-8.024404529005658e-05,-0.0007072120127142867
150000000000.0,3,0.09468320575,-0.01442558215,-0.04123696325,0.00371,-0.039868,-0.000654,-3.4202653205,-9.161666629499999,0.73256656165,-1.7818,1.2061,-1.752,9.999999999998899e-05,-5.0000000000105516e-05,-9.999999999998899e-05,-4.8131549968299936e-05,-0.0005741827603367167,-1.3741213435558564e-05
150000000000.0,3,0.06271352675,-0.06406684445,-0.03992287215,0.001591,-0.039847,-0.003864,-3.4183039904999997,-9.162255028499999,0.7333412869999999,-1.7821,1.2063,-1.752,-9.999999999998899e-05,9.999999999998899e-05,2.0000000000020002e-05,-3.1548168302197865e-05,7.165114671736639e-05,-0.00047881061154608773
150000000000.0,3,0.0270859673,-0.0923198031,-0.0366572577,-0.001599,-0.040882,-0.008141,-3.4165387934999996,-9.162941494,0.7339689125999999,-1.7824,1.2065,-1.7522,-3.333333333332966e-05,-9.999999999998899e-05,5.999999999994898e-05,-0.0004599733112999882,-0.0005594463016120876,-0.00048327570370032547
150000000000.0,3,0.011915079749999998,-0.113364874,-0.0213981103,-0.004787,-0.039789,-0.009218,-3.41467553,-9.163529893,0.7344200184999999,-1.7826,1.2066,-1.7523,-3.333333333332966e-05,-1.666666666655381e-05,2.999999999997449e-05,-0.00012616010046340165,-7.255829149155346e-05,-0.00043094347149441603
150000000000.0,3,-0.00253992235,-0.08709285865,-0.0037167203499999996,-0.00477,-0.037658,-0.009224,-3.413106466,-9.164118292,0.7351457106,-1.7829,1.2068,-1.7524,-3.333333333332966e-05,-1.6666666666775853e-05,-2.0000000000020002e-05,-0.00023345741243563367,0.00010286338997511635,-0.0004258124578218059
150000000000.0,3,-0.0030596748,-0.038226321699999996,-0.00565843705,-0.00161,-0.041948,-0.008144,-3.4118316015,-9.164510558,0.73619502215,-1.7833,1.2069,-1.7524,-2.4999999999941735e-05,-1.6666666666775853e-05,-9.999999999998899e-05,-0.0006016694686847845,0.0006025697046974088,-0.00046340991840709833
150000000000.0,3,0.00116699135,0.0182795956,-0.025075604049999995,0.003722,-0.040928,-0.006001,-3.410949003,-9.164706691,0.73719530045,-1.7836,1.207,-1.7525,-2.500000000016378e-05,-1.666666666655381e-05,3.0000000000085514e-05,0.0002658550160206108,-0.00035111334427129215,-0.000422361469897492
150000000000.0,3,-0.0013140911,0.04458103089999999,-0.0265760215,0.005811,-0.043081,-0.000656,-3.4107528699999996,-9.164706691,0.73870552455,-1.7841,1.207,-1.7525,-2.4999999999941735e-05,-1.666666666655381e-05,-7.00000000000145e-05,-0.00037937287125311414,0.0006602028497011414,-0.0002718930500349437
150000000000.0,3,-0.0217315364,0.05280881025,-0.0446987107,0.007952,-0.039904,0.002546,-3.4112432024999997,-9.164412491499998,0.7400686489,-1.7844,1.2069,-1.7525,-2.4999999999941735e-05,-1.6666666666775853e-05,-1.0000000000065512e-05,-0.00021675971747026068,-0.0009234922761036657,0.00022144783937072532
150000000000.0,3,-0.060614903649999996,0.030881140849999995,-0.0559567449,0.005844,-0.035628,0.003608,-3.4125180669999997,-9.163824092499999,0.740990474,-1.7846,1.2067,-1.7527,9.999999999998899e-05,-3.333333333332966e-05,-0.00010999999999994348,0.0002544079265538457,0.0006837855284547167,-1.1176827506176323e-05
150000000000.0,3,-0.09070170585,-0.010983447999999998,-0.035892338999999995,0.003779,-0.028148,0.00146,-3.4137929314999997,-9.163333759999999,0.7417357793999999,-1.7847,1.2066,-1.7528,-9.999999999998899e-05,-3.333333333332966e-05,8.999999999992347e-05,-9.415772320431337e-05,-0.00034192905486318814,0.00026119836703220045
150000000000.0,3,-0.1136198469,-0.04498310354999999,-0.027605719749999997,-0.001444,-0.015315,-0.000702,-3.4151658625,-9.1628434275,0.7416769395,-1.7846,1.2064,-1.7531,9.999999999998899e-05,-3.333333333332966e-05,2.0000000000020002e-05,0.00011847535013598254,-0.00017351524364861426,6.861156920567879e-05
150000000000.0,3,-0.12171033314999999,-0.05302455655,-0.021947282699999997,-0.001318,-0.001459,-0.003923,-3.4163426605,-9.1624511615,0.74125525355,-1.7845,1.2063,-1.7533,-9.999999999998899e-05,-5.0000000000105516e-05,0.00014999999999998348,0.0001520174043001532,-0.00031603345371600255,-0.00017709196569448693
150000000000.0,3,-0.09933155785,-0.043767078949999996,0.00389324005,-0.002282,0.008146,-0.009275,-3.416832993,-9.162255028499999,0.7408531809,-1.7843,1.2063,-1.7534,-1.999999999990898e-05,-4.999999999988347e-05,-9.99999999995449e-06,-5.5229241951337826e-05,0.0002443241239695748,0.00014477745897245597
150000000000.0,3,-0.07975748444999999,-0.02382035285,0.01171894675,-0.008676,0.010328,-0.007151,-3.4173233255,-9.162156962,0.7402157486500001,-1.7841,1.2062,-1.7535,-2.0000000000131024e-05,-4.999999999988347e-05,-7.00000000000145e-05,-0.000201558878798469,0.0003851874683467038,-4.883091347140933e-05
150000000000.0,3,-0.0566039838,0.00367749375,0.008757338449999999,0.009424,0.00698,-0.004977,-3.4177155914999995,-9.161960829,0.74062762795,-1.7842,1.2062,-1.7533,-1.999999999990898e-05,-5.0000000000105516e-05,-9.99999999995449e-06,-5.454629538159672e-05,-0.00026731819676450996,0.00019366526060382583
150000000000.0,3,-0.0232417605,0.04765051234999999,0.0125328987,0.008336,0.004857,-0.003905,-3.418009791,-9.161764695999999,0.7413435133999999,-1.7844,1.2061,-1.7531,-2.0000000000131024e-05,-5.0000000000105516e-05,-6.0000000000060005e-05,-0.00021689688901660453,0.0002198386266873964,0.00014856772655891248
150000000000.0,3,0.0019024901,0.0591733261,-0.00410898635,0.015759,0.000531,-0.001749,-3.4181078575,-9.161666629499999,0.7425693446499999,-1.7847,1.2061,-1.7527,-1.999999999990898e-05,-4.999999999988347e-05,0.000140000000000029,4.997261096040262e-06,-0.0004883624619658189,0.00015067064159568488
