Time,placement_label,user_acc_x(m/s^2),user_acc_y(m/s^2),user_acc_z(m/s^2),rotation_rate_x(rad/s),rotation_rate_y(rad/s),rotation_rate_z(rad/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),attitude_roll(rad),attitude_pitch(rad),attitude_yaw(rad),target_delta_x,target_delta_y,target_delta_z,target_delta_roll,target_delta_pitch,target_delta_yaw
150000000000.0,6,-0.0010002783,-0.0018044235999999999,0.006952914849999999,-0.001237,0.001033,0.001069,-0.15881869675,-0.5804360002,-9.7881154315,-0.016224,0.059223,3.1335,0.0,0.0,0.0,0.0,0.0,0.0
150000000000.0,6,-0.0013140911,-0.0014906108,0.0089044382,-0.001244,-0.001096,-0.001062,-0.15894618319999998,-0.5804556135,-9.7881154315,-0.016237,0.059224,3.1335,-9.999999999998899e-05,-9.999999999998899e-05,2.0000000000020002e-05,0.0007861866524170869,-0.00020554032244968212,0.0003796058498318211
150000000000.0,6,0.00250069575,-0.0004609125499999999,0.026085689,0.003013,-0.001133,0.001081,-0.1590246364,-0.58074000635,-9.7881154315,-0.016245,0.059253,3.1335,1.4285714285744433e-05,9.999999999998899e-05,2.0000000000020002e-05,-7.08812458346808e-05,-6.708321389647942e-05,3.829326804977162e-05
150000000000.0,6,-0.00085317855,-0.0018142302499999999,0.017848103,-0.001254,-0.001098,0.001073,-0.159259996,-0.5808674927999999,-9.7881154315,-0.01627,0.059267,3.1335,1.4285714285744433e-05,-9.999999999998899e-05,-2.0000000000020002e-05,7.530061294172552e-05,-0.0003296502095837539,0.00022137654196702217
150000000000.0,6,-0.00067665885,-0.0010591181999999998,0.0159063863,-0.002302,-2.2e-05,-0.001065,-0.15927960929999999,-0.5807301997,-9.7881154315,-0.016271,0.059252,3.1335,1.4285714285744433e-05,1.6666666666775853e-05,-4.999999999999449e-05,-0.0004643897426064719,-0.00011924036840760266,-8.876973735441607e-05
150000000000.0,6,0.0060997363,0.0028243152,0.0031969679,-0.00016,0.001026,-0.001063,-0.1591815428,-0.58072039305,-9.7881154315,-0.016261,0.059252,3.1335,1.4285714285522388e-05,1.666666666655381e-05,4.0000000000040004e-05,0.00018442101708597558,0.0005107349956294804,-0.00019590781407871627
150000000000.0,6,0.0050308114499999996,0.0012748644999999999,0.01124822755,0.001957,-0.001122,-0.001056,-0.15915212285,-0.5811224656999999,-9.7881154315,-0.016259,0.059292,3.1335,1.4285714285744433e-05,1.666666666655381e-05,-4.0000000000040004e-05,0.0004302351841456026,-0.0009877347096802769,0.0002985925850974569
150000000000.0,6,0.0091790244,-0.0006472389,0.030253515249999998,-0.001237,0.001033,0.001069,-0.15896579649999998,-0.5811420789999999,-9.7881154315,-0.016239,0.059295,3.1335,1.4285714285744433e-05,1.6666666666775853e-05,4.999999999999449e-05,-0.0003081215996700304,0.0008592322624942916,-6.782264553609196e-05
150000000000.0,6,0.0020201699,-0.00034323274999999994,0.01648497865,-0.001257,-0.002162,8e-06,-0.1589854098,-0.5811420789999999,-9.7881154315,-0.016242,0.059295,3.1335,1.4285714285744433e-05,1.6666666666775853e-05,-2.0000000000020002e-05,-0.0006579369756402054,0.00028714972627885693,-0.0005035841768545879
150000000000.0,6,0.00405014645,0.00224572285,0.01020872265,-0.001237,0.001034,0.001069,-0.1589265699,-0.5810440124999999,-9.7881154315,-0.016236,0.059285,3.1335,-3.333333333332966e-05,1.666666666655381e-05,-9.99999999995449e-06,0.0002950069845630149,-0.0006338445800511128,0.0002223837017102659
