drift_deg_s,category,ate_rmse_m
0.0,handbag,2.4210
0.0,handheld,1.4676
0.0,pocket,1.6370
0.0,running,4.5995
0.0,slow,2.8845
0.0,trolley,3.6968
0.0,large,20.2834
0.0,multi,3.9989
0.02,handbag,2.5592
0.02,handheld,1.4352
0.02,pocket,1.5492
0.02,running,4.7273
0.02,slow,2.8812
0.02,trolley,3.6535
0.02,large,19.9364
0.02,multi,4.2165
0.05,handbag,2.2136
0.05,handheld,1.4812
0.05,pocket,1.6095
0.05,running,4.9263
0.05,slow,2.9220
0.05,trolley,3.6096
0.05,large,19.5539
0.05,multi,4.2519
0.1,handbag,2.1075
0.1,handheld,1.7663
0.1,pocket,2.0800
0.1,running,5.2621
0.1,slow,3.0919
0.1,trolley,3.5960
0.1,large,19.0369
0.1,multi,3.8124
0.2,handbag,2.9876
0.2,handheld,2.5659
0.2,pocket,3.0703
0.2,running,5.8605
0.2,slow,3.5975
0.2,trolley,3.7444
0.2,large,18.4746
0.2,multi,3.2729
