[02:41:50] ============================================================
[02:41:50] TLIO ResNet1D  (ResMLP128 과 동일 환경)
[02:41:50] 출력: out_resnet_small
[02:41:50] 디바이스: cuda
[02:41:50] 데이터셋 로딩... (Oxford + TLIO golden 증강)
[02:42:19] Train samples: 1,309,769 | Val samples: 45,112
[02:42:19] ResNet1D (small) 파라미터 수: 460,490
[02:42:19] [two-stage] Stage 1: MSE (epoch 1~30)
[02:42:21] 총 100 epoch
[02:42:34]   Epoch 001 [  50/10232]  reg=0.1286  rmse=0.6635
[02:42:34]   Epoch 001 [ 100/10232]  reg=0.1338  rmse=0.6583
[02:42:35]   Epoch 001 [ 150/10232]  reg=0.1649  rmse=0.6550
[02:42:35]   Epoch 001 [ 200/10232]  reg=0.1472  rmse=0.6543
[02:42:36]   Epoch 001 [ 250/10232]  reg=0.1534  rmse=0.6576
[02:42:36]   Epoch 001 [ 300/10232]  reg=0.1491  rmse=0.6596
[02:42:37]   Epoch 001 [ 350/10232]  reg=0.1467  rmse=0.6610
[02:42:38]   Epoch 001 [ 400/10232]  reg=0.1176  rmse=0.6617
[02:42:38]   Epoch 001 [ 450/10232]  reg=0.3500  rmse=0.6604
[02:42:39]   Epoch 001 [ 500/10232]  reg=0.1424  rmse=0.6596
[02:42:39]   Epoch 001 [ 550/10232]  reg=0.1217  rmse=0.6593
[02:42:40]   Epoch 001 [ 600/10232]  reg=0.1460  rmse=0.6594
[02:42:40]   Epoch 001 [ 650/10232]  reg=0.1196  rmse=0.6600
[02:42:41]   Epoch 001 [ 700/10232]  reg=0.1287  rmse=0.6593
[02:42:42]   Epoch 001 [ 750/10232]  reg=0.1314  rmse=0.6585
[02:42:42]   Epoch 001 [ 800/10232]  reg=0.1229  rmse=0.6585
[02:42:43]   Epoch 001 [ 850/10232]  reg=0.1464  rmse=0.6571
[02:42:43]   Epoch 001 [ 900/10232]  reg=0.1422  rmse=0.6563
[02:42:44]   Epoch 001 [ 950/10232]  reg=0.1278  rmse=0.6549
[02:42:44]   Epoch 001 [1000/10232]  reg=0.1270  rmse=0.6534
[02:42:45]   Epoch 001 [1050/10232]  reg=0.1194  rmse=0.6518
[02:42:46]   Epoch 001 [1100/10232]  reg=0.1971  rmse=0.6535
[02:42:46]   Epoch 001 [1150/10232]  reg=0.1970  rmse=0.6521
[02:42:47]   Epoch 001 [1200/10232]  reg=0.1660  rmse=0.6505
[02:42:47]   Epoch 001 [1250/10232]  reg=0.1254  rmse=0.6485
[02:42:48]   Epoch 001 [1300/10232]  reg=0.1152  rmse=0.6469
[02:42:49]   Epoch 001 [1350/10232]  reg=0.1310  rmse=0.6456
[02:42:49]   Epoch 001 [1400/10232]  reg=0.1172  rmse=0.6447
[02:42:50]   Epoch 001 [1450/10232]  reg=0.1009  rmse=0.6436
[02:42:50]   Epoch 001 [1500/10232]  reg=0.0986  rmse=0.6426
[02:42:51]   Epoch 001 [1550/10232]  reg=0.1225  rmse=0.6413
[02:42:51]   Epoch 001 [1600/10232]  reg=0.1059  rmse=0.6396
[02:42:52]   Epoch 001 [1650/10232]  reg=0.1257  rmse=0.6386
[02:42:53]   Epoch 001 [1700/10232]  reg=0.1570  rmse=0.6375
